"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2015-01-02,"shot","gun",53,"M",0,"WA","True","attack","Not fleeing","False",-123.122,47.247,"2015"
2015-01-02,"shot","gun",47,"M",0,"OR","False","attack","Not fleeing","False",-122.892,45.487,"2015"
2015-01-03,"shot and Tasered","unarmed",23,"M",0,"KS","False","other","Not fleeing","False",-97.281,37.695,"2015"
2015-01-04,"shot","toy weapon",32,"M",0,"CA","True","attack","Not fleeing","False",-122.422,37.763,"2015"
2015-01-04,"shot","nail gun",39,"M",0,"CO","False","attack","Not fleeing","False",-104.692,40.384,"2015"
2015-01-04,"shot","gun",18,"M",0,"OK","False","attack","Not fleeing","False",-97.423,35.877,"2015"
2015-01-05,"shot","gun",22,"M",0,"AZ","False","attack","Car","False",-111.841,33.328,"2015"
2015-01-06,"shot","gun",35,"M",0,"KS","False","attack","Not fleeing","False",-97.564,38.704,"2015"
2015-01-06,"shot","unarmed",34,"F",0,"IA","False","other","Not fleeing","True",-91.119,40.809,"2015"
2015-01-06,"shot","toy weapon",47,"M",1,"PA","False","attack","Not fleeing","False",-79.991,40.413,"2015"
2015-01-06,"shot and Tasered","knife",25,"M",0,"CA","False","attack","Not fleeing","False",-121.299,37.93,"2015"
2015-01-07,"shot","gun",31,"M",1,"TX","False","attack","Not fleeing","False",-95.369,28.955,"2015"
2015-01-07,"shot","knife",41,"M",1,"OH","True","other","Not fleeing","False",-82.885,39.999,"2015"
2015-01-07,"shot","gun",30,"M",0,"IA","False","attack","Car","False",-93.609,41.582,"2015"
2015-01-07,"shot","gun",37,"M",1,"LA","False","attack","Foot","True",-90.012,30.022,"2015"
2015-01-08,"shot","shovel",42,"M",0,"UT","False","attack","Not fleeing","True",-111.872,40.772,"2015"
2015-01-08,"shot","unarmed",36,"M",1,"AR","False","attack","Not fleeing","False",-92.359,33.111,"2015"
2015-01-08,"shot","gun",49,"M",0,"UT","False","attack","Not fleeing","True",-112.083,41.083,"2015"
2015-01-09,"shot","gun",71,"M",0,"AR","False","attack","Not fleeing","False",-91.966,34.542,"2015"
2015-01-09,"shot","gun",33,"M",0,"TX","False","attack","Not fleeing","False",-106.439,31.858,"2015"
2015-01-11,"shot","gun",39,"M",0,"IL","True","attack","Not fleeing","False",-88.304,39.692,"2015"
2015-01-11,"shot","gun",23,"M",0,"CA","False","attack","Not fleeing","False",-118.183,33.951,"2015"
2015-01-11,"shot and Tasered","gun",29,"M",0,"NV","False","attack","Foot","False",-115.116,36.185,"2015"
2015-01-13,"shot","gun",34,"M",0,"NM","False","attack","Foot","True",-106.586,35.095,"2015"
2015-01-13,"shot","knife",43,"M",0,"TX","True","other","Not fleeing","False",-98.542,28.912,"2015"
2015-01-14,"shot","gun",34,"M",1,"VA","True","attack","Not fleeing","False",-76.348,36.783,"2015"
2015-01-14,"shot","knife",75,"M",0,"NJ","False","attack","Not fleeing","False",-74.301,40.405,"2015"
2015-01-14,"shot","gun",68,"M",0,"TX","False","attack","Not fleeing","False",-95.428,29.031,"2015"
2015-01-14,"shot","knife",34,"M",0,"UT","False","attack","Not fleeing","True",-111.887,40.54,"2015"
2015-01-15,"shot","gun",27,"M",1,"IN","False","attack","Foot","False",-85.991,39.826,"2015"
2015-01-15,"shot","gun",39,"M",1,"CO","False","attack","Not fleeing","False",-104.772,39.726,"2015"
2015-01-15,"shot","gun",24,"M",0,"MN","True","attack","Not fleeing","False",-93.358,44.825,"2015"
2015-01-15,"shot","knife",36,"M",0,"CA","True","other","Not fleeing","False",-121.997,38.266,"2015"
2015-01-15,"shot","gun",33,"M",0,"LA","False","attack","Not fleeing","False",-92.441,30.748,"2015"
2015-01-16,"shot","gun",41,"M",0,"TX","False","attack","Car","False",-96.069,32.407,"2015"
2015-01-16,"shot and Tasered","knife",48,"M",0,"CA","False","other","Not fleeing","False",-122.06,37.588,"2015"
2015-01-17,"shot","gun",21,"M",1,"OK","False","attack","Foot","True",-95.394,35.766,"2015"
2015-01-17,"shot","gun",24,"M",0,"CA","False","attack","Not fleeing","False",-118.233,34.038,"2015"
2015-01-17,"shot","knife",27,"M",0,"TX","False","attack","Not fleeing","False",-97.334,32.811,"2015"
2015-01-18,"shot","gun",32,"M",0,"AZ","True","attack","Not fleeing","False",-112.042,33.085,"2015"
2015-01-18,"shot and Tasered","gun",67,"M",0,"KY","True","attack","Not fleeing","False",-82.921,37.565,"2015"
2015-01-19,"shot","knife",49,"M",0,"MA","False","attack","Not fleeing","False",-70.932,42.257,"2015"
2015-01-21,"shot","gun",36,"M",0,"CA","False","attack","Not fleeing","False",-116.958,33.742,"2015"
2015-01-21,"shot","gun",36,"M",0,"TX","False","attack","Foot","False",-99.123,26.559,"2015"
2015-01-21,"shot","gun",19,"M",1,"MO","False","attack","Not fleeing","False",-90.25,38.665,"2015"
2015-01-21,"shot","gun",54,"M",0,"NH","True","attack","Not fleeing","False",-71.337,42.908,"2015"
2015-01-22,"shot","toy weapon",25,"M",1,"TX","False","attack","Car","False",-105.028,31.08,"2015"
2015-01-22,"shot and Tasered","knife",17,"F",0,"TX","True","other","Not fleeing","False",-94.746,32.495,"2015"
2015-01-23,"shot","knife",56,"M",0,"TX","False","other","Not fleeing","False",-102.369,33.578,"2015"
2015-01-23,"shot","gun",61,"M",0,"TX","True","attack","Not fleeing","False",-97.789,30.167,"2015"
2015-01-24,"shot","gun",45,"M",0,"ID","False","attack","Not fleeing","False",-111.78,43.826,"2015"
2015-01-24,"shot","knife",26,"M",1,"MD","True","other","Not fleeing","False",-76.648,39.284,"2015"
2015-01-24,"shot","gun",40,"M",0,"TX","False","attack","Not fleeing","False",-97.38,32.678,"2015"
2015-01-25,"shot","gun",26,"M",0,"CO","False","attack","Car","False",-104.574,38.285,"2015"
